Time,City,Temperature (°C),Rainfall (mm),Humidity (%),Indoor Humidity (%),Pressure (mb),Cloudiness (%),Visibility (km),AQI,Air Status,PM2 Status,PM2 Index,PM2 Density (µg/m³),PM10 Status,PM10 Index,PM10 Density (µg/m³),SO2 Status,SO2 Index,SO2 Density (µg/m³),NO2 Status,NO2 Index,NO2 Density (µg/m³)
2024-06-07,An Giang,33.143,7.229,59.143,59.143,1008.429,80.429,24.0,29.857,Fair,Fair,29.857,8.143,Fair,21.714,16.714,Excellent,12.571,37.714,Excellent,6.571,3.429
2024-06-07,Bà Rịa - Vũng Tàu,32.2,27.02,71.0,71.0,1008.0,76.0,24.0,33.6,Fair,Fair,33.6,9.4,Fair,23.2,18.2,Excellent,15.2,46.4,Excellent,6.2,6.0
2024-06-07,Bình Dương,34.0,17.7,58.857,58.857,1006.571,88.714,24.0,33.143,Fair,Fair,33.143,9.143,Fair,21.286,16.286,Excellent,11.857,34.857,Excellent,9.714,6.286
2024-06-07,Bình Phước,30.9,5.38,68.5,68.5,1009.3,82.8,23.7,32.7,Fair,Fair,32.7,9.3,Fair,20.5,15.5,Excellent,12.7,37.8,Excellent,7.1,4.3
2024-06-07,Bình Thuận,31.714,4.39,65.048,65.048,1009.286,82.714,24.0,39.048,Fair,Fair,39.048,11.524,Fair,26.286,21.286,Excellent,17.333,51.571,Excellent,5.0,3.524
2024-06-07,Bình Định,30.286,0.75,71.929,71.929,1007.143,64.5,24.0,40.286,Fair,Fair,40.286,11.643,Fair,24.786,46.643,Fair,24.071,38.571,Excellent,3.286,1.571
2024-06-07,Bạc Liêu,33.0,7.4,60.0,60.0,1009.0,78.0,24.0,33.0,Fair,Fair,33.0,9.0,Fair,25.0,20.0,Excellent,16.0,47.0,Excellent,2.0,1.0
2024-06-07,Bắc Giang,31.0,12.4,79.0,79.0,1001.0,76.0,24.0,98.0,Poor,Poor,98.0,30.0,Fair,47.0,42.0,Fair,31.0,75.0,Fair,22.0,27.0
2024-06-07,Bắc Kạn,30.0,9.2,82.0,82.0,1007.0,4.0,13.0,13.0,Excellent,Excellent,13.0,37.0,Excellent,10.0,10.0,Excellent,9.0,4.0,Excellent,8.0,6.0
2024-06-07,Bắc Ninh,32.0,19.0,73.0,73.0,1001.0,91.0,24.0,78.0,Poor,Poor,78.0,23.0,Fair,39.0,34.0,Fair,27.0,69.0,Fair,23.0,31.0
2024-06-07,Bến Tre,33.0,32.0,58.0,58.0,1007.0,77.0,24.0,31.0,Fair,Fair,31.0,9.0,Fair,21.0,16.0,Excellent,14.0,41.0,Excellent,7.0,7.0
2024-06-07,Cao Bằng,30.0,4.5,74.0,74.0,1008.0,30.0,8.0,11.0,Excellent,Excellent,11.0,34.0,Excellent,8.0,2.0,Excellent,8.0,8.0,Excellent,7.0,3.0
2024-06-07,Cà Mau,32.0,2.1,64.0,64.0,1010.0,76.0,24.0,36.0,Fair,Fair,36.0,10.0,Fair,28.0,23.0,Excellent,16.0,47.0,Excellent,2.0,1.0
2024-06-07,Cần Thơ,33.0,13.0,62.0,62.0,1009.0,77.0,16.0,34.0,Fair,Fair,34.0,10.0,Fair,26.0,21.0,Excellent,15.0,45.0,Excellent,7.0,7.0
2024-06-07,Gia Lai,30.706,3.824,61.765,61.765,1009.235,62.765,24.0,34.941,Fair,Fair,34.941,9.941,Fair,20.118,15.353,Excellent,17.0,50.706,Excellent,4.176,2.412
2024-06-07,Hà Giang,29.0,3.0,81.0,81.0,1007.0,30.0,11.0,18.0,Excellent,Excellent,18.0,5.0,Excellent,14.0,42.0,Excellent,10.0,5.0,Excellent,9.0,7.0
2024-06-07,Hà Nam,30.5,7.75,80.5,80.5,1005.5,53.5,21.5,92.0,Poor,Poor,92.0,30.5,Poor,57.5,47.5,Fair,33.5,78.0,Fair,19.5,10.0
2024-06-07,Hà Nội,32.0,19.0,73.0,73.0,1002.0,91.0,24.0,78.0,Poor,Poor,78.0,23.0,Fair,39.0,34.0,Fair,27.0,69.0,Fair,23.0,31.0
2024-06-07,Hà Tĩnh,31.0,0.6,77.0,77.0,1006.0,50.0,24.0,29.0,Fair,Fair,29.0,8.0,Excellent,17.0,13.0,Excellent,12.0,35.0,Excellent,11.0,6.0
2024-06-07,Hòa Bình,30.0,2.6,83.0,83.0,1002.0,76.0,24.0,23.0,Fair,Fair,23.0,6.0,Excellent,16.0,48.0,Excellent,15.0,15.0,Excellent,11.0,8.0
2024-06-07,Hưng Yên,30.0,7.4,81.0,81.0,1005.0,31.0,24.0,64.0,Poor,Poor,64.0,19.0,Fair,34.0,29.0,Fair,24.0,65.0,Fair,21.0,11.0
2024-06-07,Hải Dương,31.0,12.4,79.0,79.0,1002.0,76.0,24.0,98.0,Poor,Poor,98.0,30.0,Fair,47.0,42.0,Fair,31.0,75.0,Fair,22.0,27.0
2024-06-07,Hải Phòng,29.0,12.9,85.0,85.0,1006.0,80.0,24.0,72.0,Poor,Poor,72.0,22.0,Fair,38.0,33.0,Fair,25.0,67.0,Excellent,19.0,19.0
2024-06-07,Hậu Giang,32.25,11.375,63.25,63.25,1009.0,76.25,22.0,31.0,Fair,Fair,31.0,8.75,Fair,22.25,17.25,Excellent,14.25,43.25,Excellent,4.75,4.5
2024-06-07,Hồ Chí Minh,27.0,9.9,100.0,95.0,1007.0,85.0,2.8,33.0,Fair,Fair,33.0,10.0,Fair,22.0,17.0,Excellent,12.0,36.0,Excellent,10.0,10.0
2024-06-07,Khánh Hòa,29.75,0.9,72.167,72.167,1008.5,46.167,22.667,41.333,Fair,Fair,41.333,12.167,Fair,27.25,22.25,Fair,21.0,61.167,Excellent,3.25,2.167
2024-06-07,Kiến Giang,31.857,2.8,71.143,71.143,1009.714,79.429,24.0,30.429,Fair,Fair,30.429,8.429,Fair,23.429,18.429,Excellent,13.571,41.143,Excellent,4.429,2.286
2024-06-07,Kon Tum,30.0,12.8,64.0,64.0,1010.0,100.0,24.0,34.0,Fair,Fair,34.0,10.0,Excellent,19.0,14.0,Excellent,16.0,48.0,Excellent,4.0,2.0
2024-06-07,Lai Châu,30.0,10.0,79.0,79.0,1006.0,85.0,10.0,7.0,Excellent,Excellent,7.0,5.0,Excellent,5.0,16.0,Excellent,3.0,1.0,Excellent,2.0,145.0
2024-06-07,Long An,32.9,10.76,61.4,61.4,1007.4,82.5,24.0,31.2,Fair,Fair,31.2,8.7,Fair,20.9,15.9,Excellent,12.4,36.8,Excellent,8.7,6.7
2024-06-07,Lào Cai,30.0,3.0,71.0,71.0,1006.0,76.0,19.0,11.0,Excellent,Excellent,11.0,33.0,Excellent,8.0,4.0,Excellent,5.0,1.0,Excellent,4.0,3.0
2024-06-07,Lâm Đồng,24.833,8.767,82.167,82.167,1010.833,72.0,20.0,40.167,Fair,Fair,40.167,11.833,Fair,25.333,20.333,Excellent,16.5,49.5,Excellent,4.333,2.333
2024-06-07,Lạng Sơn,28.0,12.8,77.0,77.0,1007.0,76.0,23.0,20.0,Fair,Fair,20.0,20.0,Excellent,17.0,50.0,Excellent,16.0,4.0,Excellent,13.0,7.0
2024-06-07,Nam Định,30.0,7.4,81.0,81.0,1005.0,31.0,24.0,64.0,Poor,Poor,64.0,19.0,Fair,34.0,29.0,Fair,24.0,65.0,Fair,21.0,11.0
